,,Job vacancy sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC,799,11,47,1,,3,,2,,,62,6,5,59,,1,2,3,62,1,,6,,11,,2,,8,1,4,,3,11,28,5,9,6,3,,6,,,10,106,,,1,8,,9,32,1,162,,64,1,1,6,6,23,,1
CH,4835,226,100,3,14,1,1,28,3,2,2,225,64,389,50,6,26,9,172,8,,92,,197,,37,,6,2,80,3,35,424,80,22,91,69,37,,143,,5,7,204,2,13,5,101,42,60,246,14,753,,575,,2,26,27,94,9,3
CN,20384,241,60,11,17,4,,110,82,1,,23,6306,321,127,54,82,6,91,135,,6861,,158,,76,,6,2,36,70,29,512,528,28,495,74,111,4,94,2,195,43,147,,105,18,144,142,95,279,9,509,,1380,143,7,139,18,121,133,
CU,46748,1049,788,10,81,13,1,327,47,7,18,142,459,9967,159,49,283,30,554,84,,1044,3,1561,8,412,3,78,6,634,26,345,4639,779,289,637,278,270,17,857,2,52,99,732,3,118,24,567,325,989,2884,44,5960,1,7651,10,20,361,120,765,64,3
CY,13043,574,14,,33,,,67,38,,2,16,349,248,711,32,24,,69,40,,939,,1454,,86,,,,97,8,172,5111,95,61,132,94,134,5,243,1,32,4,66,,19,,149,142,121,135,20,232,,851,2,,257,28,63,73,
DE,3867,48,14,1,5,3,,72,109,,,3,112,112,17,157,25,6,30,40,,979,1,54,,18,,5,1,18,38,11,570,120,50,134,11,41,6,29,,15,6,71,,20,1,49,46,40,54,13,184,,440,6,2,28,10,29,13,
DI,7782,158,22,3,8,4,,143,26,,1,8,201,284,30,24,1019,12,33,21,,412,,112,3,47,,4,,28,10,23,254,1513,32,577,24,103,2,94,2,14,25,89,2,173,3,56,155,92,291,13,404,,1051,10,5,31,25,89,17,
DO,840,11,14,2,,,,7,,,4,6,32,51,1,,7,128,35,2,,17,,7,,6,,11,,1,,1,8,46,2,18,4,,,5,,,14,78,,8,1,11,1,6,59,1,100,,79,7,2,12,1,33,1,
ED,9357,215,230,,20,6,,45,5,1,26,68,195,528,68,11,25,17,1829,27,,306,5,190,3,76,1,12,1,176,5,32,1518,104,89,89,61,53,2,141,,5,25,323,1,19,5,153,18,146,297,37,1129,,693,15,4,42,123,125,15,2
EL,8371,75,38,2,5,2,,143,74,,,11,173,156,38,46,53,1,40,1269,,2566,,85,,94,,2,1,14,,9,1691,144,10,337,44,31,2,86,1,33,10,48,,50,,39,84,57,107,31,129,,290,20,3,157,6,40,24,
EM,208,2,41,,,,,1,,,,1,1,23,,,1,,10,,,11,,3,,,,1,,4,,7,2,3,5,7,,,,4,,1,3,10,1,1,,8,1,1,4,,33,,15,1,,,,2,,
EN,55358,142,34,9,11,10,1,1062,613,,3,23,1528,262,176,187,101,6,89,1034,,36828,,248,1,393,1,5,1,70,46,33,5810,454,29,1956,106,115,5,117,6,490,30,144,2,211,3,80,228,123,194,131,298,,1041,115,8,400,26,77,241,1
FD,880,90,3,,,,,3,,,,4,13,54,,,1,3,25,3,,14,3,20,,1,1,1,,2,,4,95,25,7,11,36,1,,20,,1,4,17,,1,,7,2,7,157,,91,,128,2,1,3,,19,,
FI,47019,4918,238,2,98,5,,97,20,1,8,59,131,1125,286,41,55,2,125,28,1,326,1,22077,2,338,,7,1,193,6,1331,7804,137,235,165,164,146,2,687,,31,19,168,,30,7,192,145,410,574,28,1637,,2388,6,2,285,34,150,51,
FL,648,6,22,5,,2,,4,,,,3,5,47,,,4,6,26,1,,8,,12,13,9,,2,,8,,2,19,29,2,21,7,,,22,,2,9,46,1,4,2,7,2,31,54,1,61,,111,3,,,4,22,2,1
GR,16726,798,91,2,117,2,1,112,106,4,2,64,221,622,118,25,46,3,229,254,1,2092,3,691,2,1308,,8,,279,15,100,3512,130,198,281,183,64,2,821,,33,23,237,1,52,8,182,73,538,386,150,1084,1,1225,4,2,87,21,75,35,2
HB,286,2,19,,,1,,1,,,1,1,5,24,,,,1,7,1,,3,,6,,1,16,,,2,,3,4,2,,5,2,1,,11,,1,3,17,,,,1,1,6,31,,54,,38,1,,,,14,,
HC,2943,43,93,1,,3,1,15,4,,7,26,44,303,1,2,17,35,85,5,,65,,26,2,26,1,136,1,36,,6,122,83,6,45,16,11,,51,,3,23,117,1,10,4,31,3,33,333,4,425,,449,14,7,6,2,156,3,1
HE,457,4,,,,,,3,,,,4,83,27,1,1,2,22,12,,,7,,7,,1,,,11,5,,3,6,13,4,6,,10,,5,,1,9,29,,4,2,8,1,3,15,,98,,38,2,2,2,,6,,
HR,11043,251,205,2,84,3,,34,13,1,2,52,105,648,85,17,28,3,216,12,1,116,1,300,1,122,1,6,5,2463,2,55,1146,109,122,110,56,74,3,376,,14,17,146,1,17,3,131,25,505,621,13,1699,,760,1,2,60,59,126,13,
HS,2032,24,7,,1,1,,20,9,,3,11,171,120,15,9,12,2,32,5,,398,,21,1,25,,3,,24,96,4,63,39,8,103,10,35,1,17,,9,6,159,1,25,,46,5,36,74,19,87,,204,2,3,3,14,34,15,
IN,13907,1283,70,1,13,,,42,6,,,15,41,495,39,10,11,1,38,7,,98,,5087,,74,,1,,50,2,1484,2157,47,111,34,41,42,3,132,,4,9,55,,5,3,67,37,122,147,5,402,,1486,1,,65,13,41,10,
IT,76699,1332,234,,124,7,,220,167,2,,73,387,1213,479,140,118,5,234,316,1,2095,1,4401,3,390,,10,,357,7,584,53138,332,168,403,554,201,7,932,1,70,31,292,,66,4,332,199,352,734,62,1694,,2583,15,4,1265,88,200,72,
LO,18129,211,101,12,13,8,,328,106,1,4,36,470,671,50,54,772,21,86,68,,1497,2,162,3,66,,13,5,49,23,38,1262,5645,38,1126,69,150,3,139,6,45,93,248,2,284,5,139,307,146,590,26,700,,1830,46,26,100,31,162,39,2
LW,5410,297,55,,7,,1,12,,,,16,34,167,27,5,2,2,39,3,,48,,955,,46,,2,,79,2,116,606,35,1381,25,38,19,,62,,5,2,49,,5,3,64,13,68,63,4,811,,177,1,,19,6,36,3,
MA,21141,309,75,5,22,6,,736,290,,,27,535,370,92,92,309,11,86,288,,6907,5,162,2,70,,7,2,67,62,33,1021,843,39,3864,74,153,2,139,,125,33,235,1,474,5,112,639,113,362,121,514,,1284,58,14,98,34,127,86,1
MD,11109,382,84,2,139,1,2,50,10,,1,41,81,621,59,8,39,8,100,22,,196,5,367,1,117,1,3,,95,4,49,2260,131,56,84,904,46,2,1248,,11,19,107,,24,2,73,77,256,641,9,830,,1583,3,1,92,16,134,12,
ME,24696,737,120,2,197,5,,292,169,1,,56,740,678,324,70,302,2,199,184,,2366,2,811,2,147,,28,1,380,40,132,3933,663,87,1068,177,834,2,988,,64,23,260,,208,11,241,293,382,979,43,1166,,4550,6,2,303,92,200,131,3
MI,1818,14,3,,2,1,,84,27,,1,5,62,55,1,35,23,1,18,46,,588,,15,,11,,2,,9,9,1,236,81,5,86,4,18,13,14,1,10,2,20,,8,,23,3,9,30,6,34,,143,1,,29,11,14,4,
MK,20465,733,122,1,505,1,,66,18,3,5,54,110,673,119,12,36,7,128,25,,265,2,3262,2,341,,11,1,163,5,321,1944,103,97,125,524,128,,4097,,18,22,158,1,31,6,89,79,498,645,8,866,,3685,1,,132,19,169,27,2
MR,120,8,,,,,,4,,,,,1,1,,1,2,,,,,38,,,,,,,,,,,10,7,,4,,,,,3,5,,,,,,3,,,,,,,30,2,,1,,,,
OG,6342,183,24,1,13,1,,85,51,,,4,321,89,72,40,46,1,11,71,,2457,,145,,56,,,2,20,3,10,609,204,18,144,7,17,4,126,6,447,4,27,,22,,37,27,34,40,24,99,,614,34,,34,4,15,39,
OH,2113,31,37,4,,5,,14,6,2,6,15,32,183,10,2,14,19,42,11,,84,,25,,29,,2,4,25,1,7,155,111,11,70,8,11,,17,1,4,204,81,,11,3,16,8,25,112,2,247,1,328,17,,12,17,29,2,
OT,14367,215,141,2,10,8,1,41,19,2,26,85,116,514,55,14,41,24,276,72,,275,1,712,6,79,1,17,4,75,47,112,1000,148,42,113,35,43,4,95,,14,45,6608,4,30,5,213,20,168,330,108,1013,,1074,6,,46,35,149,25,3
PH,424,3,4,,,1,,,,,2,3,4,19,5,,1,1,12,,,13,,10,,12,,,,1,,1,106,4,1,21,1,1,,6,,2,1,35,2,7,,4,,9,9,14,55,,43,2,,2,,7,,
PO,12757,98,32,16,16,1,,307,167,,1,18,463,307,74,40,384,12,58,90,,3267,5,173,,41,,10,4,35,27,26,1059,835,17,1849,72,151,,109,2,81,35,170,2,720,3,76,205,70,282,94,323,,590,39,15,97,30,123,36,
PR,724,10,15,3,,2,,13,2,,,9,230,28,10,4,1,3,8,1,,42,,4,,2,,1,,2,1,2,12,12,9,24,3,11,,7,,3,4,15,,4,26,14,3,5,10,,73,,81,3,1,1,,8,2,
PS,16210,716,281,6,71,8,,73,24,2,3,82,410,1130,146,41,61,22,301,19,,436,1,601,3,130,1,18,1,307,63,110,3314,282,142,180,99,155,7,369,3,26,32,361,1,42,8,1170,125,267,482,45,2346,,1291,10,6,130,61,153,36,
PU,6812,239,60,1,23,,,128,36,,,5,187,216,61,33,116,,29,24,,441,,187,,57,,,,36,4,18,643,243,26,344,49,64,,142,,40,6,58,1,44,,73,1457,65,238,17,361,,891,2,,70,5,58,14,
RC,8416,116,78,,71,5,,38,6,2,1,39,127,578,35,9,42,5,119,10,,178,,177,,155,,5,2,548,7,53,688,133,111,96,55,63,1,294,,8,11,162,,18,5,91,13,1443,392,14,890,,1327,4,2,41,26,107,15,
RT,44451,726,467,11,74,17,,296,53,1,18,107,353,3418,112,33,302,44,395,71,,803,6,932,7,310,11,66,4,306,22,165,2306,793,168,586,241,176,7,746,1,15,84,650,4,127,16,296,238,681,18222,31,2880,2,5993,26,14,155,77,743,40,3
SC,5855,46,30,,5,,,28,29,,,11,88,99,45,14,31,5,76,56,,898,,143,,127,1,5,1,17,35,16,1778,74,7,288,28,19,,61,,17,13,260,4,41,1,34,14,86,78,461,310,,382,8,3,22,9,25,25,1
SE,41772,1621,1310,6,51,14,2,146,46,5,25,150,394,4181,110,28,110,26,607,28,1,521,,1330,8,298,8,27,10,931,16,287,2399,394,697,340,216,142,6,563,,41,109,658,6,86,24,495,150,707,1051,38,18351,,2297,11,11,169,84,377,48,5
SH,108,2,,,,,,,,,,,1,11,,,,3,2,,,1,,3,,1,,1,,,,,14,2,,,,,,,,,1,12,,,,3,,1,6,,24,2,6,,,1,2,8,1,
SM,49650,708,447,10,177,20,2,401,55,6,10,105,548,3346,135,34,179,22,326,97,,1099,2,1080,12,544,3,48,,407,18,252,1985,623,146,590,329,319,6,1254,4,106,73,805,7,86,27,288,458,1216,2705,32,2259,,25092,22,10,370,74,607,64,
ST,2238,69,39,5,,1,,23,13,1,,8,325,57,5,2,9,5,15,20,,573,,23,,10,,,2,10,1,4,203,93,8,81,6,19,,31,1,58,8,35,,13,3,11,10,5,35,4,111,,115,138,3,7,,11,9,
SY,1102,85,2,1,,1,,8,1,,1,5,37,59,6,3,17,4,24,4,,73,,14,,10,,2,1,5,11,5,93,123,5,26,5,5,2,10,,8,9,26,,12,,15,1,22,51,3,45,,157,7,65,7,1,23,2,
TE,21668,273,114,3,37,2,,100,63,,2,26,232,941,168,37,61,4,93,442,,1647,,603,,122,,7,,108,5,118,8142,206,53,220,108,102,3,369,1,48,13,135,,41,5,136,215,218,419,14,726,1,2129,4,3,2982,25,116,26,
TR,8303,177,37,1,30,3,,57,19,,1,41,217,578,66,15,32,3,271,70,,488,1,217,,85,2,6,,163,42,43,1661,184,68,177,71,56,4,117,2,21,8,178,3,35,2,116,24,164,574,11,477,,1214,5,5,68,254,123,15,1
TV,15600,323,186,6,32,8,1,76,12,2,14,61,154,1183,29,12,62,30,208,20,,202,,305,3,163,1,118,1,194,9,62,928,268,62,162,92,61,1,347,2,8,45,293,5,71,6,138,24,265,1290,9,1424,1,1765,14,5,68,48,4711,10,
UT,3644,102,5,2,2,,,31,4,,,1,307,63,45,5,9,,17,35,,1275,,88,,27,,,1,8,7,6,314,60,7,70,8,33,,17,,55,,9,,17,,19,7,22,38,10,60,,564,4,1,22,2,13,252,
VT,150,2,22,,,,,1,,,,,,17,,,1,3,9,,,,,4,,1,,9,,2,,3,,5,4,4,1,,,2,,,,8,1,,,5,,,6,,24,,7,,,,,5,,4
